c,d,f,g,h,k,n,p,s,u
-0.0024,-0.0008,-0.0002,-0.0001,0,0,+0.0002,0.0002,0.0006,0.0007
-0.0028,-0.0012,-0.0004,-0.0002,0,0,+0.0003,0.0005,.0007,0.0009
-0.0031,-0.0016,-0.0005,-0.0002,0,0,+0.0004,0.0006,0.0009,0.0011
-0.0037,-0.0020,-0.0006,-0.0002,0,0,+0.0005,+0.0007,+0.0011,+0.0013
-0.0043,-0.0026,-0.0008,-0.0003,0,+0.0001,+0.0006,+0.0009,+0.0014,0.0016
-0.0043,-0.0026,-0.0008,-0.0003,0,+0.0001,+0.0006,+0.0009,+0.0014,+0.0019
-0.0047,-0.0031,-0.0010,-0.0004,0,+0.0001,0.0007,0.0010,0.0017,+0.0024
-0.0051,-0.0031,-0.0010,-0.0004,0,+0.0001,+0.0007,0.0010,0.0017,0.0028
-0.0055,-0.0039,-0.0012,-0.0004,0,+0.0001,+0.0008,0.0013,0.0021,0.0034
-0.0059,-0.0039,-0.0012,-0.0004,0,+.0001,+0.0008,+0.0013,0.0023,0.0040
-0.0067,-0.0047,-0.0014,-0.0005,0,+0.0001,+0.0009,+0.0015,+0.0028,+0.0049
-0.0071,-0.0047,-0.0014,-0.0005,0,+0.0001,+0.0009,+0.0015,+0.0031,+0.0057
-0.0079,-0.0057,-0.0017,-0.0006,0,+0.0001,+0.0011,+0.0017,+0.0036,+0.0067
-0.0083,-0.0057,-0.0017,-0.0006,0,+0.0001,+0.0011,+.0017,+0.0039,+0.0075
-0.0091,-0.0057,-0.0017,-0.0006,0,+0.0001,+0.0011,+0.0017,+0.0043,+0.0083
-0.0094,-0.0067,-0.0020,-0.0006,0,+0.0002,+0.0012,+0.0020,+0.0048,+0.0093
-0.0102,-0.0067,-0.0020,-0.0006,0,+0002,+0.0012,0.0020+0.0051,+0.0102
-0.0110,-0.0067,-0.0020,-0.0006,0,+0.002,+0.0012,+0.0020,+0.0055,+0.0112
-0.0118,-0.0075,-0.0022,-0.0007,0,+0.0002,+0.0013,+0.0022,+0.0062,0.0.0124
-0.00130,-0.0075,-0.0022,-0.0007,0,+0.0002,+0.0013,+0.0022,+0.0067,+0.0130
-0.0142,-0.0083,-0.0024,-0.0007,0,+0.0002,+0.0015,+0.0024,+0.0075,0.0154
-0.0157,-0.0083,-0.0024,-0.0007,0,+0.0002,+0.0015,+0.0024,0.0082,+0.0171


