c,d,f,g,h,k,n,p,s,u
-0.060,-0.020,-0.006,-0.002,0,0,+0.004,+0.006,+0.014,+0.018
-0.070,-0.030,-0.010,-0.004,0,+0.001,+0.008,+0.012,+0.019,+0.023
-0.080,-0.040,-0.013,-0.005,0,+0.001,+0.010,+0.015,+0.023,+0.028
-0.095,-0.050,-0.016,-0.006,0,+0.001,+0.012,+0.018,+0.028,+0.033
-0.095,-0.050,-0.016,-0.006,0,+0.001,+0.012,+0.018,+0.028,+0.033
-0.110,-0.065,-0.020,-0.007,0,+0.002,+0.015,+0.022,+0.035,+0.041
-0.110,-0.065,-0.020,-0.007,0,+0.002,+0.015,+0.022,+0.035,+0.048
-0.120,-0.080,-0.025,-0.009,0,+0.002,+0.017,+0.026,+0.043,+0.060
-0.130,-0.080,-0.025,-0.009,0,+0.002,+0.017,+0.026,+0.043,+0.070
-0.140,-0.100,-0.030,-0.010,0,+0.002,+0.020,+0.032,+0.053,+0.087
-0.150,-0.100,-0.030,-0.010,0,+0.002,+0.020,+0.032,+0.059,+0.102
-0.170,-0.120,-0.036,-0.012,0,+0.003,+0.023,+0.037,+0.071,+0.124
-0.180,-0.120,-0.036,-0.012,0,+0.003,+0.023,+0.037,+0.079,+0.144
-0.200,-0.145,-0.043,-0.014,0,+0.003,+0.027,+0.043,+0.092,+0.170
-0.210,-0.145,-0.043,-0.014,0,+0.003,+0.027,+0.043,+0.100,+0.190
-0.230,-0.145,-0.043,-0.014,0,+0.003,+0.027,+0.043,+0.108,+0.210
-0.240,-0.170,-0.050,-0.015,0,+0.004,+0.031,+0.050,+0.122,+0.236
-0.260,-0.170,-0.050,-0.015,0,+0.004,+0.031,+0.050,+0.130,+0.258
-0.280,-0.170,-0.050,-0.015,0,+0.004,+0.031,+0.050,+0.140,+0.284
-0.300,-0.190,-0.056,-0.017,0,+0.004,+0.034,+0.056,+0.158,+0.315
-0.330,-0.190,-0.056,-0.017,0,+0.004,+0.034,+0.056,+0.170,+0.350
-0.360,-0.210,-0.062,-0.018,0,+0.004,+0.037,+0.062,+0.190,+0.390
–400,-0.400,-0.210,-0.062,-0.018,0,+0.004,+0.037,+0.062,+0.208,+0.435
